"GAL","Stender","Michael","Ingenieur","1980","23560","Lübeck"
"Die Unabhängigen","Zsiros","Ivo","Arzt","1975","23566","Lübeck"

"CDU","Fimm","Stefanie","Physiotherapeutin","1975","23564","Lübeck"
"SPD","Thede","Britta","Erzieherin","1972","23560","Lübeck"
"BÜNDNIS 90/DIE GRUENEN","Köster","Carola","Buchhändlerin / Sachbearbeiterin","1976","23564","Lübeck"
"FDP","Fürter","Thorsten","Richter am Oberlandesgericht","1970","23552","Lübeck"
"AfD","Brietzke","Marina","Einzelhandelskauffrau","1983","23568","Lübeck"
"DIE LINKE","Acker","Finn-Yannes","Auszubildender","Erzieher","1997","23560","Lübeck"
"FREIE WÄHLER","Beneke","Dominik","Baumpfleger","1995","23552","Lübeck"
"Die PARTEI","Pahl","Janne","Geschäftsführer","1996","23552","Lübeck"
"dieBasis","Tewes","Arne","Handelsvertreter","1965","23562","Lübeck"
"Volt","Blum","Nele","Wissenschaftlerin","1995","23554","Lübeck"
"BfL","Körnich-Krombholz","Andrea","Architektin","1960","23570","Lübeck"
"GAL","Rapoport","Daniel","Diplom-Chemiker","1971","23552","Lübeck"
"Die Unabhängigen","Heuck-Schlüter","Karin","Bundesbahnbeamtin a. D.","1956","23564","Lübeck"

"CDU","Gersdorf","Nil","Pädagogische Mitarbeiterin","1962","23552","Lübeck"
"SPD","Zahn","Frank","Polizist im Ruhestand","1960","23564","Lübeck"
"BÜNDNIS 90/DIE GRUENEN","Meyer","Ruben","Student (IT-Sicherheit)","2000","23552","Lübeck"
"FDP","Lange","Nicolaus","Unternehmensberater","1962","23564","Lübeck"
"AfD","Fick","Anneli","Rentnerin","1942","23562","Lübeck"
"DIE LINKE","Reinhardt","Florian","Fachmann für Systemgastronomie","1986","23564","Lübeck"
"FREIE WÄHLER","Spahr","Thomas","Bankkaufmann","1957","23566","Lübeck"
"Die PARTEI","Brandenburg","Paul","Gesundheitsökonom","1983","23552","Lübeck"
"dieBasis","Wetzel","Maik","Selbstständiger Handwerker","1974","23556","Lübeck"
"Volt","Goldmann","Charlie","Callcenter Agent","2000","23562","Lübeck"
"BfL","Iwers","Uwe-Jens","Diplom Ingenieur Rentner","1943","23568","Lübeck"
"GAL","Riekhof","Heinz Jürgen","Drucker i. R.","1944","23566","Lübeck"
"Die Unabhängigen","Rieck","Valerie","Studentin","2000","23566","Lübeck"
"DKP","Grabowski","Monika","Rentnerin","1958","23558","Lübeck"

"CDU","Dr. Brock","Ulrich","Rechtsanwalt","1972","23566","Lübeck"
"SPD","Diener","Lennart","Medizinstudent","1998","23564","Lübeck"
"BÜNDNIS 90/DIE GRUENEN","Bickford-Novoselac","Julian","Lehrer","1994","23554","Lübeck"
"FDP","Wolff","Silke","Betriebswirtin","1959","23562","Lübeck"
