"dieBasis","Pries","Christian","Arzt","1951","23564","Lübeck","05"
"Volt","Grotrian","Anja","Unternehmensberaterin","1972","23566","Lübeck","05"
"BfL","Schäfer","Alexander","Kaufmännischer Angestellter","1998","23562","Lübeck","05"
"GAL","Stender","Michael","Ingenieur","1980","23560","Lübeck","05"
"Die Unabhängigen","Zsiros","Ivo","Arzt","1975","23566","Lübeck","05"
"CDU","Fimm","Stefanie","Physiotherapeutin","1975","23564","Lübeck","06"
"SPD","Thede","Britta","Erzieherin","1972","23560","Lübeck","06"
"BÜNDNIS 90/DIE GRUENEN","Köster","Carola","Buchhändlerin / Sachbearbeiterin","1976","23564","Lübeck","06"
"FDP","Fürter","Thorsten","Richter am Oberlandesgericht","1970","23552","Lübeck","06"
"AfD","Brietzke","Marina","Einzelhandelskauffrau","1983","23568","Lübeck","06"
"DIE LINKE","Acker","Finn-Yannes","Auszubildender","Erzieher","1997","23560","Lübeck","06"
"FREIE WÄHLER","Beneke","Dominik","Baumpfleger","1995","23552","Lübeck","06"
"Die PARTEI","Pahl","Janne","Geschäftsführer","1996","23552","Lübeck","06"
"dieBasis","Tewes","Arne","Handelsvertreter","1965","23562","Lübeck","06"
"Volt","Blum","Nele","Wissenschaftlerin","1995","23554","Lübeck","06"
"BfL","Körnich-Krombholz","Andrea","Architektin","1960","23570","Lübeck","06"
"GAL","Rapoport","Daniel","Diplom-Chemiker","1971","23552","Lübeck","06"
"Die Unabhängigen","Heuck-Schlüter","Karin","Bundesbahnbeamtin a. D.","1956","23564","Lübeck","06"
"CDU","Gersdorf","Nil","Pädagogische Mitarbeiterin","1962","23552","Lübeck","07"
"SPD","Zahn","Frank","Polizist im Ruhestand","1960","23564","Lübeck","07"
"BÜNDNIS 90/DIE GRUENEN","Meyer","Ruben","Student (IT-Sicherheit)","2000","23552","Lübeck","07"
"FDP","Lange","Nicolaus","Unternehmensberater","1962","23564","Lübeck","07"
"AfD","Fick","Anneli","Rentnerin","1942","23562","Lübeck","07"
"DIE LINKE","Reinhardt","Florian","Fachmann für Systemgastronomie","1986","23564","Lübeck","07"
"FREIE WÄHLER","Spahr","Thomas","Bankkaufmann","1957","23566","Lübeck","07"
"Die PARTEI","Brandenburg","Paul","Gesundheitsökonom","1983","23552","Lübeck","07"
"dieBasis","Wetzel","Maik","Selbstständiger Handwerker","1974","23556","Lübeck","07"
"Volt","Goldmann","Charlie","Callcenter Agent","2000","23562","Lübeck","07"
"BfL","Iwers","Uwe-Jens","Diplom Ingenieur Rentner","1943","23568","Lübeck","07"
"GAL","Riekhof","Heinz Jürgen","Drucker i. R.","1944","23566","Lübeck","07"
"Die Unabhängigen","Rieck","Valerie","Studentin","2000","23566","Lübeck","07"
"DKP","Grabowski","Monika","Rentnerin","1958","23558","Lübeck","07"
"CDU","Dr. Brock","Ulrich","Rechtsanwalt","1972","23566","Lübeck","08"
"SPD","Diener","Lennart","Medizinstudent","1998","23564","Lübeck","08"
"BÜNDNIS 90/DIE GRUENEN","Bickford-Novoselac","Julian","Lehrer","1994","23554","Lübeck","08"
