"FDP","Brattig","Mogens","kaufmännischer Angestellter","1961","deutsch","24939","Flensburg","06"
"SSW","Schäfer-Quäck","Susanne","Angestellte im ö. D.","1960","deutsch","24944","Flensburg","06"
"DIE LINKE","Sievers","Arnim","Student","1998","deutsch","24939","Flensburg","06"
"dieBasis","Teuser","Harald","Verkäufer","1956","deutsch","24939","Flensburg","06"
"BüsoS","Flachmann","Nadja","Bootsbau","1997","deutsch","24939","Flensburg","06"
"Flensburg WÄHLEN!","Trützschler","Julia","Dipl.-Physikerin","1984","deutsch","24937","Flensburg","06"
"WiF","Petersen","Daniela","Verkäuferin","1971","deutsch","24941","Flensburg","06"
"CDU","Trösken","Viviana","Studentin","1998","deutsch","24939","Flensburg","07"
"BÜNDNIS 90/DIE GRÜNEN","Zeppenfeld","Irene","Rechtsanwältin","1955","deutsch","24939","Flensburg","07"
"SPD","Vogel","Lisa","Lehrerin","1997","deutsch","24937","Flensburg","07"
"FDP","Goldau","Jason","Schüler","2004","deutsch","24941","Flensburg","07"
"SSW","Bohk","Philipp","Kreisgeschäftsführer","1985","deutsch","24939","Flensburg","07"
"DIE LINKE","Gregorczyk","Moritz Otto Gregor","Pädagoge","1993","deutsch","24939","Flensburg","07"
"dieBasis","Kunz","Rafael","Stanzer","1963","deutsch","24941","Flensburg","07"
"Volt","Schmeil","Fabio Kolja","Fachinformatiker für Systemintegration","1986","deutsch","24937","Flensburg","07"
"BüsoS","Haacke","Jan Hinrich","Musiklehrer","1977","deutsch","24943","Flensburg","07"
"Flensburg WÄHLEN!","Titajeff","Alexander Sergeevic","Student","1984","deutsch","24939","Flensburg","07"
"WiF","von Oesterreich","Clara-Sophie","Studentin","1996","deutsch","24937","Flensburg","07"
"CDU","Schwendke","Timo","Kriminalbeamter","1972","deutsch","24941","Flensburg","08"
"BÜNDNIS 90/DIE GRÜNEN","Pescher","Annabell Louisa","Lehrerin und Dozentin","1996","deutsch","24937","Flensburg","08"
"SPD","Marxen","Hannes","Mitarbeiter Personalservice","1998","deutsch","24944","Flensburg","08"
"FDP","Jäger","Erik Piet","Student","1999","deutsch","24943","Flensburg","08"
"SSW","Schöpp","Rainer","Systemadmin.","1963","deutsch","24941","Flensburg","08"
"DIE LINKE","Jezewski","Heinz-Werner","Schriftsteller","1958","deutsch","24943","Flensburg","08"
"dieBasis","Ohlsson-Jensen","Kirstin","Sozialpädagogin","1975","deutsch","24943","Flensburg","08"
"Volt","Kathe","Sabine","Inhaberin einer Content-Marketing-Agentur","1984","deutsch","24941","Flensburg","08"
"BüsoS","Gramm","Matthias","Medieninformatiker M.Sc.","1970","deutsch","24941","Flensburg","08"
"Flensburg WÄHLEN!","Miftari","Kerim","Auszubildender","2002","deutsch","24941","Flensburg","08"
"WiF","Wilhelmi","Traymont","Marketingberater","1992","deutsch","24937","Flensburg","08"
"CDU","Tober","Marvin","Kaufmann Digitalisierungsmanagement","1998","deutsch","24937","Flensburg","09"
"BÜNDNIS 90/DIE GRÜNEN","Bohrmann-Erichsen","Gerd","Sozialpädagoge","1958","deutsch","24941","Flensburg","09"
"SPD","Wappler","Maria","Lehrerin","1989","deutsch","24941","Flensburg","09"
"FDP","Richert","Kay","Dipl.-Verwaltungswirt (FH)","1973","deutsch","24939","Flensburg","09"
"SSW","Beyer","Jannik","Student","2000","deutsch","24937","Flensburg","09"
"DIE LINKE","Jähring","Nicolas Rainer","Angestellter","1984","deutsch","24943","Flensburg","09"
"dieBasis","Müller","Jörg","Lagerist","1968","deutsch","24941","Flensburg","09"
"Volt","Ellenberg","Björn","E-Commerce Manager","1987","deutsch","24941","Flensburg","09"
"BüsoS","Callsen","Matthias","Erzieher","1978","deutsch","24937","Flensburg","09"
"Flensburg WÄHLEN!","Murawski","Albert","Unternehmer","1975","deutsch","24941","Flensburg","09"
"WiF","Hansen","Bärbel","Buchhalterin","1961","deutsch","24941","Flensburg","09"
"","09"
"CDU","Rabeler","Martje","Unternehmerin","1971","deutsch","24937","Flensburg","09"
"BÜNDNIS 90/DIE GRÜNEN","Heinemann-Robbes","Sandra","Diplom Pädagogin","1977","deutsch","24937","Flensburg","09"
"SPD","Düster","Nils","Abteilungsleiter","1979","deutsch","24937","Flensburg","09"
"FDP","Giwakowski","Jasmin","Studentin","2001","deutsch","24941","Flensburg","09"
"SSW","Wanger","Svea","Pädagogin","1981","deutsch","24939","Flensburg","09"
"DIE LINKE","Grimminger","Luca","Student","1993","deutsch","24937","Flensburg","09"
"dieBasis","Majeske","Reinhold","Kraftfahrer","1958","deutsch","24941","Flensburg","09"
"Volt","Johannsen","Nicole","Angestellte","1991","deutsch","24941","Flensburg","09"
"BüsoS","Kalkutschke","Hanna","Freischaffende Künstlerin","1982","deutsch","24937","Flensburg","09"
"Flensburg WÄHLEN!","Kunz","Rafael","Technischer Angestellter","1963","deutsch","24941","Flensburg","09"
"WiF","Petersen","Kay","Schaffner","1972","deutsch","24941","Flensburg","09"
"CDU","Boll","Michael","staatlich geprüfter Techniker der Elektrotechnik","1976","deutsch","24941","Flensburg","10"
"BÜNDNIS 90/DIE GRÜNEN","Claussen","Katja","Lehrerin","1990","deutsch","24937","Flensburg","10"
"SPD","Schumann","Arik","Schüler","2005","deutsch","24943","Flensburg","10"
"FDP","Preuß","Tobias","Unternehmer und Gastronom","1975","deutsch","24937","Flensburg","10"
"SSW","Lausten","Mads","Student","1998","deutsch","24939","Flensburg","10"
"DIE LINKE","Bollmann","Daniela Ursel","Angestellte","1970","deutsch","24943","Flensburg","10"
"dieBasis","Möller","Holger","Unternehmer","1968","deutsch","24937","Flensburg","10"
"Volt","Nawrot","Krzysztof","Triebfahrzeugführer","1972","deutsch","24941","Flensburg","10"
"BüsoS","Nowak","Martina","Antiquarin","1967","deutsch","24937","Flensburg","10"
"Flensburg WÄHLEN!","Titajeff","Sergej","Dipl.-Schiffsbetriebsingenieur","1956","deutsch","24937","Flensburg","10"
"WiF","Speck","Gunnar","Dipl. Ing. Bauingenieurwesen","1965","deutsch","24937","Flensburg","10"
"CDU","Bublitz","Jan","Projektleiter","1972","deutsch","24941","Flensburg","11"
"BÜNDNIS 90/DIE GRÜNEN","Bossen","Leon","Student","2001","deutsch","24937","Flensburg","11"
"SPD","Jaspersen","Birgit","Erzieherin","1963","deutsch","24943","Flensburg","11"
"FDP","Binar","Zacharias","Student","1996","deutsch","24937","Flensburg","11"
"SSW","Wolhardt","Michael","Pädagoge","1960","deutsch","24943","Flensburg","11"
"DIE LINKE","Fidrich","Ariane","Arbeiterin","1983","deutsch","24937","Flensburg","11"
"dieBasis","Winkler","Marco","Pressefotograf","1970","deutsch","24937","Flensburg","11"
"Volt","Mydlak-Röder","Hannes","Student","1998","deutsch","24943","Flensburg","11"
"BüsoS","Christesen","Roald","Klangforscher und Programmierer","1966","deutsch","24943","Flensburg","11"
"Flensburg WÄHLEN!","Paysen","Marc","Dipl.-Pädagoge, Angestellter","1970","deutsch","24937","Flensburg","11"
"WiF","Hartmann","Mathias Peter","Selbstständig","1958","deutsch","24944","Flensburg","11"
"","11"
"CDU","Buchheim","Andreas","Dipl.-Ing. Maschinenbau","1963","deutsch","24944","Flensburg","11"
"BÜNDNIS 90/DIE GRÜNEN","Fries","Louisa","Erzieherin","1991","deutsch","24937","Flensburg","11"
"SPD","Dr. Dunckel","Heiner","Universitätsprofessor a.D.","1954","deutsch","24944","Flensburg","11"
"FDP","Leißner","Rasmus Heyko","Maschinenbauingenieur","1990","deutsch","24944","Flensburg","11"
"SSW","Frodermann","Susanne","Krankenschwester","1964","deutsch","24937","Flensburg","11"
"DIE LINKE","John","Elias","Schüler","2003","deutsch","24943","Flensburg","11"
"dieBasis","Stefani","Maren","Krankenschwester","1963","deutsch","24943","Flensburg","11"
"Volt","Hansen","Reinhold","Content Manager","1996","deutsch","24943","Flensburg","11"
